airline_sentiment,clean_tweet
negative,sadly app also experiencing difficulties flight information boards keeping updated
negative,absurd stranger help kids problem jetblue
neutral,disabled seat row get board earlier
negative,thanks guarantee deli ever bags hotel bag missed connection sfo customerservicenot
neutral,flight
neutral,pittsburgh
negative,lucky still flying today landing gear failure get act together help us sit kids
negative,prefference option something honor one services applied
negative,want helpful find us seat quote terms conditions jetbluefail
negative,really think okay sit kids away parents srsly esp landing gear failure
negative,absolutely guaranteed us would sit kids terms response insulting jetblue
neutral,flight jfk tpa saturday one way ticket
negative,excuse time delay lga tpa know plane air
negative,guarantee parents sit children sell tickets promise jetblue
negative,go blue go back
negative,many delays north east cities
negative,kids fly hire people care guy jetblue
negative,made feel like criminal want sit near year old flight jetblue
negative,usually great experience guys unhappy right
negative,would hire guy care safety children remotely acceptable
negative,three delays far resulting three hours unnecessary extra waiting
positive,record less minute turnaround time answer question jetblue rocks
negative,never airline refuse help sit parents tiny kids guy willing jetblue
negative,san diego hour delay jfk even amex jetblue even travel miles still nothing
negative,seems almost inconceivable sitting year old alone considered okay guy thinks
negative,third straight time flight delayed flying guys last trip
negative,let delay jfk inbound flight syracuse really ishouldhavedriven
negative,year old sit alone flight absurd guy dick jetblue
negative,told guy help us sit next year old flight jetblue
neutral,tray table broken
neutral,domestic clear sit lovely terminal need hour prior boarding thanks
negative,thanks sending update flight delayed hours unbelievable
neutral,fact chrishasmadeusblush trending know loyal
negative,hours delayed hour increments really amp mosaic still pay use lounge waste sunday
negative,done yet something online thx
neutral,woof red carpet
negative,wifi flight tweet oscar party pics ft bluecarpet sea bos
negative,thank reply would appreciated communication checking delay jetblue used go
neutral,confirmation number
negative,also promised change wife name account also done wtf
negative,guys really suck spent minutes phone linking credits account still
positive,btw robin hayes speaking next month aviation summit ought give shout twitter team rock
neutral,follow dm please
positive,oh thank responding
negative,coming thought tampa
negative,good perspective safety concern expressed point arrived airport communicationiskey
negative,exactly flight delayed bdl dca seem get answer
positive,thanks ticketed stand flight hope make fingers crossed
negative,flight bos rsw tomorrow need wife yr old sit together option checking
neutral,partnership hawaiian live earn hawaiian miles flying jetblue add jb flight booking problems
negative,left people hot plane ventilation hour half bus jfk
negative,point delays take different flight destination
positive,thank guys best
negative,get money people public apology president jet blue
negative,book flight jetblue separate yr old mother bit stupid check headaches
negative,fit
positive,love always
negative,never got wife destination expect goodwill credit make everything hunky dory blew
negative,every time look flight status minutes added delay points trouble
neutral,soon sending son home saturday
negative,hey awesome peeps flight boston delayed hrs
neutral,wifi plain
positive,great experience flight sfo jfk seats service food everything top quality back soon
negative,flights picked twice week times delayed
negative,delays boston today sister trying go home bro law trying come rdu craziness
neutral,wondering possible colleague get earlier flight lax gt jfk tomorrow help
negative,boston still sitting
negative,dont enough money parking garage fault im paying mins hrs
neutral,hope looks nice warm san juan
positive,thanks replying feel little better see goes
neutral,usually make flight booking problems time teach yea going least haha
negative,waited hrs bags flight hrs
negative,bother contacting already checked flight
neutral,early last month via expedia extra middle name initial attached last name
negative,backlog hour two unacceptable
negative,agent told us tsa crew get bags
positive,guys rock
positive,email twitter handle followed gmail
positive,awesome bestairlineever
negative,baggage crew update staff incompetent answers hours
neutral,whole plane flight lga pbi
negative,blaming flight luggage debacle luggagegate
negative,yoga tv service seems though look forward much
neutral,w edits dear mbas need better benefits work us meet
neutral,course
negative,failed answer please justify otherwise
negative,come already delayed hrs flight waited pilot come boston reassign endless trip
negative,got alert immediately started looking rebook minutes reflight booking problems catch flight srq
positive,fly jet blue
neutral,perhaps need start recruiting
positive,start including pto getaway packages
positive,thanks use extra time shopping somebody say duty free
positive,flight flight booking problems experience pretty great
negative,still waiting board see give us exit row
positive,thanks making trip home mintyfresh next brandmance flight take selfies love travel business
negative,find tell us flown jet blue since first month experience
negative,flight delayed show airport appropriate amount time delay go time
negative,honestly would like get going journey
negative,case alert arrive late flight four hour delay buy
negative,flight tv flight back seated together b maybe fault still fun
negative,believe team told us
negative,also food available even purchase quite shocking since hour international flight
negative,jfk one info amp answers boarded plane team awkward spot amp everyone cranky
neutral,reservation tomorrow morning trying get back night bc flight going jfk get list ctg
negative,flight still waiting bags us checked hours ago people missing connections please help
neutral,way get ppl standby list flight fll bos trying find way home
negative,something think dealing people wrong excuses figure amp expect unexpected
negative,understand wish would announced delay hours earlier vs sitting hrs mco
negative,gives delayed hours mco jfk every time
positive,well captured brittany love clouds enjoy ride thank
negative,wife dog even let plane daughter newburgh lives close wrong
negative,according ground staff even taken plane yet
negative,thanks making effort credit credit due flight delayed hours instead hours fwiw loweredexpectations
negative,time passengers sitting hot plane air communication hours wrong
negative,flight delayed jfk hours hours hours back hours explanation apology
positive,thanks good sunday
negative,flight hour weather delay minute delay getting bags tired passengers
negative,hrs tarmac yest b cancelled flight today hr delay send txt email jfk closed amp saved trip sit
negative,flying buf bos missing captain really delayed til happy
negative,would nice app would actually inform flight delayed
neutral,name enzo rt well hello pooch name dog
negative,know wanted pass along good experience esp someone flies times month
neutral,flight departed phoenix
negative,plane stuck newburgh start weather relate flightd well passengers plane hrs
negative,thanks home msy tsa precheck agents directing people photo scan beyond rude one grabbed pushed children
neutral,promo watch phone amazon check
negative,hold music sucks
neutral,customer year
negative,jfk north check bag drop ladies checking someone entire time another check ins
negative,excuse though gate changes though
negative,someone bothered inform us airport closed would helped
negative,get home flight buf bos missing captain really
negative,nope flight leaving almost pm believe paid money
positive,thank finally gate
positive,flight orlando unable serve hot bevies made movies alcohol complimentary works
negative,update get idea get update way go hopeless
negative,cover cost car service waiting time
neutral,always
positive,landing usual great flight wiyh great crew hello sunny west palm beach jetbluerocks
negative,ridiculous hours coming waiting deplane newborns board
negative,waiting hpn plane hour since landing b c gate please get us plane
negative,late flight several passengers inebriated league big alcohol shame
negative,thanks making vacation worth currently waiting runway another hour deplane
negative,letting san fran media rate deal looks like last time fly anywhere
positive,amazing thank
negative,empty help desks
negative,closure people need inform passengers send gate gate w info boards updated departures
negative,according jfk plenty planes landing problem
neutral,system running
negative,thanks third gate change
positive,beautiful shot thanks sharing using flyfi post welcome flight quickie
negative,flight jfk cartagena airport bar singing opposite praises making pact never fly u
neutral,austin
positive,helped problem easily nice guys rock
negative,happened plane meant leave wait buffalo seems organizational error weather
negative,award winning service
negative,really acceptable informed plane start chartering bus take passengers jfk
negative,much longer jfk open diabetic need sugar plane nothing
negative,flight sent back gate even though app says leaving anyone clue sunny jfk
negative,u guys b kidding help anywhere hour delays still answers bad cust service idlovetoask
negative,sent plane anyone jetblue clue
negative,unfortunately startled rushed get name provide description expanded email thank
positive,customer service agent bonnie amazing phone deserves promotion
negative,rude rep trying book family vacation using trvl credit phone w new rep helpful
positive,bos everything current thanks follow
negative,sunny gorgeous ny actually real reason
positive,thanks info already board looking forward future upgrades jetblue
positive,things happen ok wish beach airport
negative,hours sent plane hangar flight jfk absolutely ridiculous
neutral,idea flight actually take
positive,love jetblue flyfi able charge devices domestic flights thanks
negative,still sitting plane newburg getting ridiculous way treat loyal customers
positive,touchdown jfk well done pilots jetblue flight jetbluerocks
negative,delay system
neutral,blaming jet blue weather planes air runways mess disaster waiting happen
negative,think rly knows goin supposed leave
negative,gracious tell go buy water snack flight delayed hours
neutral,ask load bag flight
negative,applying new tag left bag ground rather loading conveyer belt walk back yards
negative,get flight air
negative,weather relate flightd nice blaming weather airport prepared investigation time
positive,tux date umosaicmecrazy
positive,thanks personalized customer service cannedtweet autoresponse
negative,agent demanded remove old luggage tag every airport jb agent politely handles
negative,also mosaic customer fly jet blue alot
negative,much delays fact flight still coming time app give us honest estimate
negative,waved someone behind step forward although explained happened indicated need make flight
negative,flight departing even board
positive,knew reason u favorite airline read answer twitter globe morning great job
negative,part bag drop inserted jetblue cc print pass agent standing front refused print pass
positive,wearing truebluecolors
neutral,flight
negative,heard weather fine morning flight circling time someone forgot clean runway
negative,mins past scheduled time w departure sight flight longer qualifies time updateyourwebsite
neutral,whatever lil mint heart desires
negative,entire system go really
negative,appreciate heads flight delayed bc crew stuck boston communicationfail dobetterjetblue
negative,seriously system
positive,yup know fault ideal sittin hour always staff great
negative,horrible experience check agent fort myers document send details boston
negative,flt carta goin st told plane coming hangar gate change one knows wat plane getting
neutral,cpap machine sleep apnea ok carry also small bag clothes
positive,got thanks quick reply
negative,something tell crew job
negative,app needs updating says flight time well past boarding time hr delay
neutral,bags still fly free started charging thanks
positive,great experience working glenn coles buffalo niagara airport top notch employee
positive,well last update right direction least keep fingers crossed
neutral,charleston app guys minutes ago
positive,thx social media person
negative,airport wide delays bos get unlucky
neutral,left laguardia sunshine little hours
neutral,hear safety think get jfk though let help pilots passengers amp crew get safely
negative,jfk still closed tryna get ft lauderdale flight want get home nyc
negative,woulda nice let us know post boards still show flight time
negative,hmmm says im following got de iced still haning around runway clear
positive,always mosaicmecrazy sunrise bestairline nofilterneeded amp love flyfi
negative,flt phx delayed hrs circle hr divert upstate ny sitting hr communication horrible
positive,miraculously fixed plane kudos shoe ever
neutral,cause trueblue ur love keeps liftin higherandhigher
negative,online resources say time clearly information age
negative,crew gate
positive,yall really better american airlines though
negative,tell update boards
positive,say comes brandloveaffair w ur soulandinspiration umosaicmecrazy
negative,issue jfk pilot explained jfk reopens get scheduled back divert lga closer acy
negative,want talk wall
positive,great service pbi hpn thanks
negative,poor flight management reason scheduled pm flight takr pm
neutral,hi way check track flight arrive amp flight depart
positive,done thank
negative,note time taken flight still listed time onboard
neutral,
negative,flight listed time plane yet
neutral,ok start looking flights
negative,ok got far atlantic city due jfk closed get us hpn lga please
neutral,flight nassau jfk showing cancelled flightled yet assuming info
negative,need eta please
neutral,confirm
negative,fly delayed ice jfk switch late flightr flight free
negative,nasty boston family driving min pick erie think flight cancelled flighted
negative,best way kill nine hours airport flights full airline put standby stranded
negative,yes said runway ready waiting port authority remove snow sight
negative,travel business twice week fiasco flying blue often thanks
neutral,flight returning gate provide information
negative,see money poor service stuck virgin america thinking trying jetblue
negative,suck customer services worst whats point loyalty scheme honor badairline
neutral,see flight boston pitts ok afternoon delays morning flight
positive,fll mde great flight great customer service thanks mths waiting speak human customer service
negative,update flight leaving tf green delayed
negative,well said cancelled flight pa system guess trying get plane boston confirmed
negative,get page cancelled flighted mins ago help flights mco
neutral,sorry cheated please take back wore protection
negative,flight cancelled flighted due lavatory problems confirm gonna get flight boston logan int
positive,okay thank check
negative,woman stole seat plane one sit elsewhere standard protocol
positive,good morning sylvie great flight yourock gt thank jetblue jetbluerocks
positive,came thanks follow best
positive,thanks see soon
negative,yep still waiting bags jfk holdup looks like flight got time
positive,thanks getting us nyc jfk really safely srsly long take get checked bags eternity ammisery
neutral,expect delays dca departure going orlando flight
negative,full six us leave flight wait whole day get flight kids miss school
negative,boarding order someone boarded service animal member party allergic flight
negative,ridiculous got home supposed land hours ago bc hella tired
negative,lost loyal customers use times year
positive,thanks response next flight flight
negative,highlight travel hour delay de icing twice sitting bumper bumper traffic taxi finally get home
positive,great flight brand new jet great seating beautiful plane big fan airline
negative,voucher believe took risk plane terribly filthy screaming babies face
neutral,download jeokoo american app air travelers
positive,thank know weather boston great everyone tired
negative,spoken emailed jb team explained situation didnt seem matter anyone guess expected
neutral,alright hope jetblue app showing change seats online shows want surprises
neutral,know guys super busy flight e
neutral,follow pls
negative,shocked misbehavior cheap comments jet airways staff passenger delhi airport friday boarding dubai disgusting
negative,service remote controllers flight watched equalizer movie three times remote stuck
negative,oh wow complaining two hour run way shucks jetblue good service better
negative,curious know compensate passengers missing engagements due two hour wait tar mat get gate
positive,thank thank finally set jetblue app yay
negative,everytime come back boston minimum min wait bags earlier almost hour boston jetblue
positive,thanks taking back home today despite pandora best efforts cancelled flight flight jetblue backhome noplacelikehome
negative,employee logan told finally got one meet daughter first solo flight rude rep
negative,customer service brutal
neutral,airways continue various commercial relationships lufthansa
positive,airline sounds outstanding twitter feed clearly extremely useful keep great work
positive,amazing short delay gave credit literally pretty much fault missed flight
negative,flight attendant hesitant give baby sized cookies
negative,u let make fun size cookies stuckonaplane sos babyfood
positive,thank standing line
negative,thanks yes order rum coke get hotel voucher floor chairs cushy
neutral,supposed change near future
positive,thank
neutral,please help save daughters life details go
negative,pass along wife daughter daughter friend elderly mother law spent several hours waiting
neutral,land
negative,missed goal inept male stewardess landed already havent taken yet
negative,horrible job jfk need rethink put routes together unprofessional
neutral,bags still fly free anymore
negative,let know status flight pbi jfk delayed hours board problem hatch
negative,thanks response crew patient us also frustrated bad airport closed
neutral,flite
negative,interupt staduim series dont need see stupid commercials emergency info
neutral,release flights february
negative,well aware insufficient info options
negative,sat plane hours dulles insane ijustwanttobeinboston thanksdc
negative,get honest update departure flite plane infant children
negative,u suck sitting hrs ur negligence
negative,still waiting bags flight landed hour ago
negative,complete waste entire day pathetic
negative,flight us stuck plane nearly hrs set take flight control deny us worst service
neutral,would love fort lauderdale would cool
positive,best
positive,thanks bringing son home
positive,got hot ladies flying air life loyal
positive,nothing praise helping lady make flight chs tonight impressed
negative,still waiting callback lack follow concerning smh
negative,heard anyone week nonstop flight baggage lost stolen customer service
negative,got luggage waiting mins went home right family ada friendly waiting long w chairs
neutral,flew flight months ago girlfriend got away sex restroom allowed
positive,thanks much wait fly guys
negative,flight jfk amp hr delay could get weather relate flightd considering come
positive,ok thank
positive,thanks speedy flight time recovery
positive,thank taking care drink since flight entertainment working goodcustomerservice
neutral,flight sxm gt jfk time bus leave hotel feb mass confusion
neutral,able change even space seat checked online flight tmrw seem change seat
positive,would say delay likely thanks much
positive,woman lead working gate c
neutral,chances one flights leaving newark nj cancelled flightled tomorrow
positive,follow able dm thanks
neutral,tomorrow soon enough thank info
negative,figured flight morrow hard believe oil low killing u make even part hotel comp
positive,want give warm thanks crew logan airport still getting dc area cancelled flightlations morning
positive,another awesome telephone experience thank cory greatcustomerservice
negative,saw one useless tsa agents inspected shoes
neutral,cup coffee relax check new deals promotions avon twice month doug
negative,disappointed missed connection roc slc reimbursement even tho friend pilot said due atc
neutral,yes party
positive,thank
positive,went beyond helpful
negative,find unfortunately helpful took info incase get found
neutral,selfie extreme
positive,employee charles cave gate msy went beyond help try help find glasses thought u know
positive,best wait use travel bank fun trip
positive,touched neworleans annual national distributor conference livethelegend
positive,plane hopefully longer mercy playlist thanks
neutral,new ceo seeks right balance please passengers wall daily journal
neutral,boston gate c
neutral,charged fee
neutral,thanks change music boarding gates
negative,crew one helping
neutral,opal dragon book dragon ali woven murdering ways philippines australia
negative,customer service please call
negative,hotel also jetblue lost daughters luggage lose luggage plane never actually left
positive,thanks prompt response know put safety first unfortunately hit freezing rain sleet ride home
positive,ok super helpful thank reach questions
positive,thanks instant reply still first bag free important
negative,lipstick pig still pig ur new baggage claim sju disaster chairs mins wait baggage fail
negative,half hour wait unreal finally first bag coming sju needs work
neutral,current checked bag price policy fly coming week find anything definitive
neutral,scheduled depart scheduled
negative,long take bag get baggage belt toolong wait
neutral,able watch oscars flight tomorrow
negative,delayed delayed palm beach need head westchester give info
negative,hey jetblue stranded entire plane supposed go jfk getting restless need better communication
negative,hey jetblue cancelled flightled flight st maarten jfk stranded family baggage area lost daughters luggage
neutral,hello world record attempt amount ball point pens collection please could help pen
positive,exciting times ahead
neutral,ceo battles appease passengers wall street waterbury republican american
negative,website seriously horrible call center almost makes tempting fly someone else sodone
negative,allowed flight changes ny area airports tonight everyone saying travel treacherous
positive,counting flight get dc
negative,cool gate turns flight fll jax delayed yet app says time good start
neutral,guys need pillows rockers really knock park sayin
neutral,sure hope guys get dc speak tomorrow amp amp winning
negative,supervisor available anything
negative,learned customer service sxm works airport jetblue need supervisor anything
neutral,status flight mco lga tomorrow
neutral,good inflight wifi
negative,trying fly bos jfk flight delayed traveling kids book hotel getting tonight
negative,tried helpful terrible customer service airport least
negative,tell point u realize u fly dca tonight u cancelled flightled pm u cancelled flight
negative,making bad situation worse cancelled flighted flight making us stay overnight sxm provide vouchers stay different hotel
neutral,status flight diverted ric depart back lga
negative,already cancelled flightled one b us dca
negative,physically impossible make airport flight scheduled leave less hours
negative,point u cancelled flight flights dca airlines already cancelled flightled
positive,great flight
positive,beat jetblue space matter
positive,great thank
negative,would like send email lost found jetblue jfk spoke morning cannot drive today
negative,want room food allowances agents refusing give us vouchers use rooms book
negative,send service agents stranded passengers helped
negative,hopefully flight seattle boston pm wifi first one entertain lizaapproved
positive,good hear thx responsive
neutral,yup mco
neutral,hey check snowing boston could predicted thing
negative,customer feels like stick airlines jet blue travel work past years never seen
positive,cool thx couple pgashow flights til mosaic wait easier change flights weathers bad
neutral,phew pant wheeze
positive,thanks much help us u r amazing
neutral,thanks next weekend though guess go higher
positive,kudos done heading warmer weather
neutral,actually flight
neutral,bos dca pm
negative,pricing years know bucks seat criminal understand pricing flying jetblue pricewise
negative,cough awkward
negative,guys need live chat
negative,obviously linked nothing tried book
positive,awesome thank
neutral,bring compact folding chair like checked bag
negative,quick person traveling w mosaic get green tag make sense end waitin sons bag anyway
negative,got wish would communicate w us
negative,continuing record never flight leave time add much time family cost jetblue
neutral,using jetblue miles
negative,guess redo flight booking problems ugh
negative,sucks oh well
negative,standing cell announcements info thismosaicnothappy
neutral,using jetblue air miles
negative,someone info smh one bag came nothing
negative,nothing apparently connect true
neutral,hello tell currently fly hawaii thanks
negative,u see holding flt bags one bag came nothing else minutes
negative,credit right account instead separate sign seems pretty ridiculous
positive,thanks update
neutral,clear folder regularly jetblue white listed never got
neutral,call right baby fell asleep
positive,course bestdressed bluecarpet
negative,seems never received id password
neutral,yesterday deal
neutral,yesterday flight wanted chicago sale within points range today way guys still honor
neutral,email says sign travel bank
negative,yes last month boston got first big snow storm flight cancelled flightled
negative,travel bank credit go call right
positive,offered complimentary drink switching seats stewardess asked age amp said giggled goodgenes ilookyoung
positive,thanks still booked trip lb slc see grand kids frustrating tried app web etc still love u guys
positive,thank excited fly first time
positive,thank u course safety always st make sure handle care love
positive,kudos jetblue social media team jumping helping last snow storm web site thanks
negative,love airline hate website tried book tickets w miles w absolute joke needs lot work
neutral,rules checked baggage carry ons slc sjo
positive,thanks much condolences quick response much appreciated
neutral,creates institutional quality machine driven jetblue revenue predictive analytics forecasts using public big data
positive,thank alicia exceptionalservice
negative,yes de baggage claim sad baggage treat us please need baggage
negative,mom baggage lost fly fort lauderdale bogot today colombian employees treated us badly need help please
negative,changes made son pass printed conf mine print expressed disapptment w jetblue
negative,cancelled flighted
negative,unhappy customer waiting min hold rude amp uncaring rep frozen acct print bdng pass
neutral,minutes spare
negative,first place really need extra stress already terrible time oh way made flight
negative,missed flight book flight extremely last minute due family death excuse attitude
negative,serious attitude fault running tad behind even knew name flight info assured
negative,fly w u much however kiosks broken syr woman working ticket counter
neutral,even years earthquake haiti still needs helps rebuilding flyingitforward
positive,thanks chatted nice fella gave lowdown
neutral,yup feet selfie
positive,mission accomplished gave hug
neutral,commercials like legroom one
neutral,tell say hey
neutral,wife booked last minute flights funeral separately would like seats gether dm conf
positive,ok thank quick response jetblue still best comp
positive,im session presented one beloved travelers see love much
negative,flying denver march st flight itenary keeps getting changed heck booked trip months ago
negative,hold foreverrrrrr
negative,happy customer waited patiently mention six months marathon training need tmrw
negative,waiting flight fl marathon tmrw charity u bumped us late flightr flight amp cancelled flightled fix
neutral,fliers gain access wsj content analyst blog nasdaq
positive,oh definitely kind fly jetblue
negative,want fly storm right give us choice kids want chance nixchangefees
positive,thanks getting orlando early happiness
neutral,port au prince haiti continued food distribution medical supplies amp orphan care flyingitforward
neutral,haiti id food distribution hundreds hungry kids nearby villages flyingitforward
neutral,go back haiti deliver shoes books amp medicine kids met orphanage last year flyingitforward
neutral,airways covered bank america jblu dakota financial news
neutral,would like receive offers
neutral,may check month old child fold crib free flight tomorrow similar policy infant car seats
neutral,offers free flights fly forward campaign via travel cause
neutral,guys dualcam
neutral,airways stock rating lowered vetr inc jblu dakota financial news
negative,fail snow coming dc area tried get earlier flight refused flight hours delayed greedy foolish
neutral,waiver ny weather today
positive,got thanks
negative,thanks including us tour pack winter coat unfortunately yes werenotincalianymore
positive,even though flight much needed hot beverages us ny ers landing super smooth happytweet
neutral,going san juan
negative,website print boarding pass
positive,thanks getting boston early breaking barriers clean energy future
positive,thanks
neutral,going giving travel agent rates hold iata card
positive,thanks complimentary upgrade first best
neutral,ceo battles appease passengers wall street waterbury republican american
positive,ah staff perfect morning jfk sleep
positive,wow awesome videos guys great work bluemanity corevalues passion aerojobmarket avgeek
positive,wow amazing video great world guys bluemanity corevalues passion aerojobmarket
positive,today family gets experience mosaic status w lifeisgood
neutral,real shit nigga north play around
positive,word thanks
neutral,chance u offer fresh guacamole flights
neutral,get degree weather go westpalmbeachbound
neutral,airways lowered strong sell vetr inc jblu mideast time
neutral,thank paris could arrange something
neutral,trying go far away king scollegelondon possible charity today would help us jailbreak rag
neutral,fliers gain access wsj content
negative,ideal okay better late flight never
negative,yeah done define incidentals much spend gear trip waste
negative,guys lost bag ski gear flew nyc ski buy new stuff tomorrow
positive,smf jfk
neutral,love see girls inspired becoming pilots rt free woaw event march abq
neutral,thanks anyways back awesome rate amp amazing customer service nomoreaggravation
negative,hold mins placed hold hung nd time days looking group rates bos sju people
negative,customer service terrible neveragain flywhonotblue
negative,delayed ridiculous
negative,flight attendants suck always rude th bad experience jetblue tonight
negative,says person delayed hours sitting runway wailing baby
negative,flight delayed still sitting runway minutes far air travel best
neutral,oh makes sense bad
negative,may cry
negative,site let book tickets nov jfk kin
negative,late flight lost almost hours bay area weekend mention two hours unnecessary vacation time work flt
positive,course
positive,thank
positive,thanks
negative,yes get exact data download fine upload bandwidth ping issue ping especially
positive,love jetblue speedy twitter customer service
neutral,since high likelihood snow time flight tomorrow chance rebook sunday
neutral,dca nantucket washington business journal
positive,thanks
neutral,traveling two kids tomorrow ages domestic need birth certificates check airport
positive,thank much effort
positive,thanks letting us know hoping delays
negative,appreciate response worst part losing non refundable hotel orlando crew blamed wind hoping delays
neutral,flight orlando
negative,awful flight jfk honeymoon delayed lost money hotel delayforwhat
neutral,phone number news
negative,flight freaking nightmare tonight sittingonthetarmac delay
neutral,used points get back decide go
neutral,one picture
negative,appreciate speedy response longer delay inconvenience put customers please nix change fee
positive,thanks
neutral,share coming
neutral,weather sfo flight still time boston
neutral,sorry please ask inflght open seat move
negative,whats going flight delayed beyond shouldnt thre flights switch point
positive,thanks info figured case hopefully new hashtag change abcletjetbluestreamfeed
negative,broken tv seat f flight today planned catch game nooooo
neutral,april th anything specific know first flight
negative,bein calling jetblue respond leave number call back think jetblue loosing customer
negative,flt lax fll ppl sleeping id rather disturb flight tried dl movie go
negative,made costa rica back missing already pura vida
neutral,abc inflight tv channel sharktank
negative,love guys know paid prem wifi toplay go ping terrible
positive,saved day lost costumer jetblue makingthingseasy feelbetter
neutral,lgb sunny cal
neutral,think snow boston effect flight
neutral,like see markie
neutral,think gonna win mayweather pacquiao
negative,thanks making miss important dinner tonight hr delay min tarmac worst
positive,yes terra blue chips favorite
positive,dm confirmation code thanks help mommy daddy kids appreciate
neutral,airways corporation insider trading update rock hill daily
neutral,thanks loose em airports st time found think needs make flexes stay carrying bags
negative,enough hands count number times something like delayed flight guys disappointed
negative,called number left message pass along message team
positive,cool anticipate completing installation year
positive,love guys sooooooo much ridiculously appreciated service
negative,option luggage assistance ground hpn flight delayed hours amp sleeping kids land
negative,ask slc checkin bag drop found dark blue blackish fit bit flex would lost around pm mt
positive,officially favorite thank wonderful service jfk
negative,seriously going
negative,news flight pbi boston delay wait arrive airport based reported hour delay
positive,airways corporation nasdaq jblu reaches new high range streetwise report
positive,thanks
negative,sorry boarding chaos underway please query post scrum
negative,boarding really impressed learnt valuable lesson
neutral,question flying st time mont old son need bring anything birth certificate card etc
neutral,process begins
negative,yes filed claim issued credit courtesy whole thing seems exceptionally uncourteous
negative,yes boarding good luck push wheels reality dare
negative,tried burger good expensive lead believe food usa cheap butnot
negative,trying tired getting grumpy
negative,flight long day arrived london morning
negative,deal plane ground instead diverting plane amp adding hrs flight
negative,looks like inflatable car seats got left plane guess back sometime savethoseseats
neutral,imma need hook tho
positive,thanks
neutral,california
neutral,thanks day week direct flights saw went thru jfk
neutral,hawaii deals u
neutral,thank
negative,jan summer
neutral,got prices low
positive,looking forward finally take
negative,flight pm already delayed
negative,must always delay late flight night orlando flights
negative,second incident lost baggage sent dm thoughts
negative,maybe announce delay sit plane runway hour taking
positive,please come indianapolis
negative,flight bos tampa takeoff min late flight
neutral,release november flights flight booking problems
negative,ah grasshopper twitterz kung fu good hire geeks
negative,discontinue nonstop service sjc bos find anywhere
negative,noooo previously direct flight fll gt sfo diverted las arriving almost hrs late flightr
negative,well lets see could pay negroni bitcoin
neutral,know schedule dec released
neutral,direct flights bos st lucia antigua
positive,okay thanks hope flying guys soon
neutral,afternoon flights going bqn jfk seem find early morning flights
neutral,flying airline lga
positive,loved natural beefjerky snacks
positive,thanks reply flight
positive,must send note good words
neutral,captain takes lot muscles frown smile ready go flyin mean
negative,seem dm guys jdhadp
positive,loving capt joe flight bos sfo fun
negative,two delays little proactive communication goes long way howhardcanthatreallybe
negative,worst view athlete watching team front seat chase van nogearnotraining
positive,fabulous pleased
neutral,take round trip tickets closest warmest place please negativedegrees buffalo snowwillnevermelt
neutral,know
neutral,cool
positive,u real mvp
positive,worries time flew terminal taking thanks
positive,messaged thanks
neutral,compensated delays cancelled flightlation
positive,thank
neutral,dang pandora look like may get pushed back likely
negative,poor storm customer service hr takeoff delay waiting snack cart rude steward names love guys trueblue
neutral,saving sanity leaving behind sunshine escape fl bliss travel indenial whatfrozenpipes
negative,departure people delayed get compensate time
negative,one trying make probably late flight see email could call pittsburgh international
neutral,flights love redeem points little year old historical limit
negative,worst customer service airline company dontflythem
negative,random delay flight chance false alarm
negative,lost day airport trip compensated inconvenience
positive,thanks reminder older flights taken easy access add points new jb account awesome service
neutral,switch seat trip sunday
positive,ah ha misread end date thanks clarifying
negative,reason delay
neutral,add aa loyalty number jetblue reservation
positive,see board soon
neutral,flt delayed
neutral,afterall indeed lovesongfriday cheesy sweresomuchfun brandloveaffair
positive,heading buffalo trading cold boston colder buffalo maybe caribbean next time
neutral,team offering flight access journal content
positive,course u know would like lay bedofroses long mint colored brandmance
neutral,ur asking heavy guns know iwoulddoanythingforlove brandmance lovesongfriday
neutral,well mine sure anything write home
positive,smart makes angry mt partnered bring free digital access onboard
positive,ooh good one speaking miamore know iadore loving lovesongfriday
neutral,well sure bold lol saying believe p
positive,love song lt thanks
neutral,let say idontwannalivewithoutyourlove itwasminttobe bestinclasssocial thankyou travel business
neutral,team offer flight access journal digital journal
neutral,would nice see services instead drive hrs like charlotte atlanta
positive,currently dancing terminal love stevie
positive,thank jetblue jetgreen jetred blue favorite color jet blue makes better
neutral,already tickets totally beach right flightlanding sunscreen feelsgood
neutral,please start offering routes locations
positive,chair selfie everyone looks flawless proud phl crew blueheros
positive,jetblue treated right disabledtraveler thanks hassle flight
negative,ceo battles appease passengers wall street waterbury republican american
neutral,looking every day watching deal specific dates fare finder help
positive,flight booked heading california team march wait expowest
positive,totally would outside view even camera ready haha evenmorespace evenmoreview
negative,dont really know means isnt best first time flying w mo old experience likelihood addtl delays nt
positive,sent curious see kind comp get
positive,wait hear back regarding internship opportunity
neutral,fly nashville
negative,jetblue flt fll sfo tke hr late flight div phx amp got hrs late flight done
negative,sis month old nephew last nights flight mega delayed evening starting w delays
neutral,challenge accepted first crew members send pics chairs get free tickets visit us wager isitsummeryet
neutral,good address send feedback email
positive,thanks credit hr delay tell customer service means lot thankful
negative,going bdl dca flights yesterday today every single one getting delayed
neutral,said let cross fingers happens departing
neutral,ceo battles appease passengers wall street lake wylie pilot
neutral,ok cool need listen dre snoop en route la would shame
negative,basically stole glasses drive see classes answering phone calls thanksjetblue
positive,thank always amazing customer service bring disney princess half marathon
